EmployeeID,Attrition,retirementDate,retirementType,resignationReason
750,Yes,6/11/2016,Resignation,Salary
755,Yes,1/10/2016,Resignation,Others
759,Yes,29/3/2016,Resignation,Others
764,Yes,22/1/2016,Resignation,Others
774,Yes,6/12/2016,Resignation,Others
775,Yes,24/2/2016,Resignation,Salary
776,Yes,13/7/2016,Resignation,Stress
779,Yes,22/7/2016,Resignation,Stress
782,Yes,28/7/2016,Resignation,Salary
799,Yes,24/3/2016,Resignation,Stress
800,Yes,2/5/2016,Resignation,Stress
801,Yes,31/7/2016,Resignation,Others
803,Yes,24/1/2016,Fired,NA
811,Yes,8/4/2016,Fired,NA
820,Yes,20/6/2016,Resignation,Stress
826,Yes,16/3/2016,Resignation,Others
828,Yes,25/11/2016,Resignation,Others
849,Yes,23/5/2016,Resignation,Stress
853,Yes,2/7/2016,Resignation,Salary
854,Yes,18/9/2016,Resignation,Salary
855,Yes,14/1/2016,Resignation,Others
879,Yes,4/4/2016,Resignation,Others
896,Yes,13/3/2016,Fired,NA
905,Yes,1/2/2016,Resignation,Others
910,Yes,21/7/2016,Resignation,Others
914,Yes,5/9/2016,Resignation,Others
929,Yes,1/2/2016,Resignation,Salary
944,Yes,27/5/2016,Resignation,Salary
947,Yes,29/7/2016,Resignation,Others
948,Yes,27/7/2016,Resignation,Others
956,Yes,8/9/2016,Resignation,Salary
965,Yes,7/3/2016,Fired,NA
966,Yes,24/7/2016,Resignation,Others
979,Yes,17/11/2016,Resignation,Stress
980,Yes,15/2/2016,Resignation,Salary
989,Yes,6/6/2016,Resignation,Others
992,Yes,31/3/2016,Resignation,Stress
998,Yes,12/12/2016,Resignation,Others
1000,Yes,14/5/2016,Resignation,Others
1005,Yes,17/5/2016,Resignation,Salary
1014,Yes,15/1/2016,Resignation,Salary
1016,Yes,19/7/2016,Resignation,Others
1022,Yes,25/7/2016,Resignation,Stress
1024,Yes,7/5/2016,Resignation,Others
1033,Yes,22/8/2016,Resignation,Stress
1034,Yes,9/9/2016,Resignation,Others
1040,Yes,3/3/2016,Resignation,Others
1041,Yes,6/12/2016,Resignation,Others
1055,Yes,18/5/2016,Resignation,Salary
1056,Yes,28/3/2016,Resignation,Salary
1069,Yes,4/1/2016,Resignation,Others
1075,Yes,6/1/2016,Resignation,Salary
1076,Yes,8/2/2016,Resignation,Others
1081,Yes,26/7/2016,Resignation,Salary
1082,Yes,28/5/2016,Resignation,Salary
1096,Yes,3/9/2016,Resignation,Others
1097,Yes,4/9/2016,Resignation,Others
1108,Yes,8/6/2016,Resignation,Others
1112,Yes,25/8/2016,Resignation,Stress
1118,Yes,16/2/2016,Resignation,Salary
1122,Yes,4/5/2016,Resignation,Others
1133,Yes,25/11/2016,Resignation,Others
1138,Yes,5/10/2016,Resignation,Salary
1139,Yes,21/5/2016,Resignation,Others
1181,Yes,5/1/2016,Resignation,Salary
1185,Yes,14/12/2016,Resignation,Stress
1187,Yes,23/3/2016,Resignation,Others
1195,Yes,18/11/2016,Resignation,Salary
1204,Yes,27/5/2016,Resignation,Salary
1213,Yes,17/3/2016,Resignation,Salary
1215,Yes,11/1/2016,Resignation,Salary
1227,Yes,19/2/2016,Resignation,Others
1234,Yes,22/5/2016,Resignation,Salary
1237,Yes,3/5/2016,Resignation,Stress
1239,Yes,30/1/2016,Resignation,Others
1246,Yes,6/6/2016,Resignation,Stress
1247,Yes,8/9/2016,Resignation,Salary
1249,Yes,7/2/2016,Resignation,Others
1255,Yes,4/12/2016,Fired,NA
1258,Yes,20/10/2016,Resignation,Others
1263,Yes,20/3/2016,Resignation,Others
1264,Yes,28/1/2016,Resignation,Stress
1282,Yes,9/5/2016,Resignation,Others
1302,Yes,25/9/2016,Resignation,Others
1313,Yes,15/5/2016,Resignation,Others
1315,Yes,28/8/2016,Resignation,Salary
1320,Yes,10/7/2016,Resignation,Salary
1324,Yes,19/7/2016,Resignation,Others
1335,Yes,26/5/2016,Resignation,Stress
1337,Yes,19/2/2016,Resignation,Salary
1339,Yes,9/4/2016,Resignation,Stress
1340,Yes,9/4/2016,Resignation,Stress
1345,Yes,14/10/2016,Resignation,Others
1349,Yes,15/12/2016,Resignation,Salary
1353,Yes,28/11/2016,Resignation,Others
1384,Yes,28/1/2016,Fired,NA
1390,Yes,21/7/2016,Resignation,Others
1395,Yes,29/2/2016,Resignation,Others
1405,Yes,2/3/2016,Resignation,Others
1417,Yes,14/7/2016,Resignation,Others
1418,Yes,31/10/2016,Resignation,Stress
1423,Yes,15/7/2016,Resignation,Stress
1427,Yes,3/10/2016,Resignation,Salary
1429,Yes,31/3/2016,Resignation,Stress
1430,Yes,4/2/2016,Resignation,Others
1442,Yes,24/7/2016,Resignation,Others
1447,Yes,3/9/2016,Resignation,Salary
1449,Yes,12/2/2016,Resignation,Others
1452,Yes,4/9/2016,Resignation,Salary
1463,Yes,26/9/2016,Resignation,Salary
1472,Yes,7/4/2016,Fired,NA
1477,Yes,24/8/2016,Resignation,Salary
1484,Yes,22/6/2016,Resignation,Salary
1499,Yes,20/3/2016,Resignation,Others
1501,Yes,16/2/2016,Resignation,Others
1506,Yes,19/8/2016,Resignation,Stress
1509,Yes,7/1/2016,Resignation,Salary
1530,Yes,22/8/2016,Resignation,Others
1536,Yes,11/7/2016,Resignation,Salary
1540,Yes,9/12/2016,Resignation,Others
1549,Yes,22/10/2016,Resignation,Salary
1570,Yes,2/4/2016,Resignation,Salary
1576,Yes,29/5/2016,Resignation,Others
1579,Yes,31/10/2016,Resignation,Stress
1581,Yes,8/12/2016,Resignation,Salary
1583,Yes,7/11/2016,Resignation,Stress
1591,Yes,16/10/2016,Resignation,Others
1595,Yes,17/2/2016,Resignation,Others
1598,Yes,26/8/2016,Resignation,Others
1618,Yes,1/10/2016,Resignation,Others
1627,Yes,3/7/2016,Resignation,Others
1628,Yes,24/8/2016,Resignation,Salary
1634,Yes,23/6/2016,Fired,NA
1635,Yes,1/3/2016,Resignation,Others
1648,Yes,14/6/2016,Resignation,Others
1649,Yes,6/12/2016,Resignation,Stress
1652,Yes,13/6/2016,Resignation,Others
1653,Yes,15/5/2016,Resignation,Salary
1656,Yes,25/10/2016,Resignation,Salary
1666,Yes,3/9/2016,Resignation,Salary
1670,Yes,20/10/2016,Resignation,Others
1676,Yes,26/9/2016,Resignation,Others
1682,Yes,11/11/2016,Resignation,Salary
1692,Yes,27/8/2016,Fired,NA
1693,Yes,11/10/2016,Resignation,Others
1695,Yes,15/1/2016,Resignation,Stress
1708,Yes,3/5/2016,Resignation,Others
1717,Yes,22/2/2016,Fired,NA
1726,Yes,1/5/2016,Resignation,Others
1727,Yes,12/3/2016,Resignation,Others
1738,Yes,15/11/2016,Resignation,Others
1741,Yes,11/8/2016,Resignation,Others
1753,Yes,19/5/2016,Resignation,Stress
1760,Yes,8/9/2016,Resignation,Others
1775,Yes,6/1/2016,Resignation,Stress
1779,Yes,4/12/2016,Resignation,Others
1781,Yes,28/5/2016,Resignation,Others
1786,Yes,2/7/2016,Resignation,Others
1798,Yes,10/11/2016,Resignation,Salary
1802,Yes,26/3/2016,Resignation,Others
1804,Yes,14/7/2016,Fired,NA
1808,Yes,16/4/2016,Resignation,Others
1811,Yes,11/2/2016,Resignation,Others
1820,Yes,22/11/2016,Resignation,Others
1821,Yes,3/12/2016,Resignation,Stress
1827,Yes,14/7/2016,Resignation,Stress
1849,Yes,13/10/2016,Resignation,Stress
1858,Yes,14/11/2016,Resignation,Others
1869,Yes,25/5/2016,Fired,NA
1873,Yes,23/6/2016,Resignation,Stress
1875,Yes,8/2/2016,Resignation,Others
1876,Yes,17/3/2016,Fired,NA
1879,Yes,30/3/2016,Resignation,Stress
1880,Yes,5/5/2016,Resignation,Others
1882,Yes,15/4/2016,Resignation,Stress
1896,Yes,8/6/2016,Resignation,Others
1901,Yes,26/3/2016,Resignation,Others
1902,Yes,24/4/2016,Resignation,Others
1906,Yes,23/5/2016,Resignation,Salary
1908,Yes,20/10/2016,Resignation,Salary
1913,Yes,7/12/2016,Resignation,Salary
1919,Yes,29/7/2016,Resignation,Stress
1922,Yes,18/5/2016,Resignation,Stress
1924,Yes,12/11/2016,Resignation,Stress
1933,Yes,18/8/2016,Resignation,Salary
1938,Yes,18/2/2016,Resignation,Others
1944,Yes,16/6/2016,Resignation,Others
1945,Yes,16/4/2016,Resignation,Stress
1957,Yes,16/5/2016,Resignation,Others
1961,Yes,9/10/2016,Resignation,Others
1962,Yes,28/6/2016,Resignation,Others
1965,Yes,7/1/2016,Resignation,Salary
1974,Yes,27/6/2016,Fired,NA
1975,Yes,13/1/2016,Resignation,Stress
1989,Yes,24/10/2016,Resignation,Salary
1990,Yes,7/11/2016,Resignation,Others
1992,Yes,22/5/2016,Resignation,Others
1993,Yes,14/10/2016,Resignation,Others
2002,Yes,13/4/2016,Resignation,Stress
2004,Yes,16/8/2016,Fired,NA
2005,Yes,14/12/2016,Resignation,Salary
2009,Yes,24/6/2016,Resignation,Salary
2010,Yes,1/3/2016,Resignation,Salary
2011,Yes,23/9/2016,Resignation,Salary
2013,Yes,17/11/2016,Resignation,Others
2014,Yes,26/2/2016,Resignation,Salary
2026,Yes,5/5/2016,Resignation,Stress
2041,Yes,17/8/2016,Resignation,Stress
2042,Yes,25/5/2016,Resignation,Others
2044,Yes,1/9/2016,Resignation,Stress
2049,Yes,29/1/2016,Resignation,Stress
2051,Yes,26/8/2016,Resignation,Stress
2055,Yes,3/6/2016,Fired,NA
2062,Yes,7/2/2016,Resignation,Others
2070,Yes,28/6/2016,Resignation,Others
2073,Yes,8/9/2016,Resignation,Others
2077,Yes,6/8/2016,Resignation,Others
2084,Yes,16/9/2016,Resignation,Others
2105,Yes,2/5/2016,Resignation,Salary
2124,Yes,27/11/2016,Fired,NA
2126,Yes,2/7/2016,Resignation,Salary
2128,Yes,20/9/2016,Resignation,Salary
2141,Yes,30/9/2016,Resignation,Others
2145,Yes,24/3/2016,Resignation,Stress
2152,Yes,25/7/2016,Resignation,Salary
2153,Yes,1/12/2016,Resignation,Others
2159,Yes,26/5/2016,Resignation,Salary
2160,Yes,9/5/2016,Resignation,Others
2165,Yes,31/10/2016,Resignation,Salary
2166,Yes,27/8/2016,Resignation,Others
2179,Yes,3/10/2016,Resignation,Others
2188,Yes,3/3/2016,Resignation,Stress
2193,Yes,8/7/2016,Resignation,Others
2194,Yes,20/7/2016,Fired,NA
2198,Yes,28/4/2016,Resignation,Others
2210,Yes,16/6/2016,Fired,NA
2219,Yes,19/7/2016,Resignation,Stress
2220,Yes,27/7/2016,Resignation,Others
2225,Yes,31/7/2016,Fired,NA
2229,Yes,8/4/2016,Resignation,Others
2234,Yes,11/5/2016,Fired,NA
2244,Yes,16/2/2016,Resignation,Others
2245,Yes,5/7/2016,Resignation,Salary
2246,Yes,29/9/2016,Resignation,Stress
2249,Yes,18/3/2016,Resignation,Others
2252,Yes,3/4/2016,Resignation,Others
2269,Yes,13/7/2016,Resignation,Others
2270,Yes,15/9/2016,Resignation,Stress
2271,Yes,26/11/2016,Fired,NA
2273,Yes,24/5/2016,Fired,NA
2281,Yes,7/10/2016,Resignation,Stress
2290,Yes,1/5/2016,Resignation,Stress
2296,Yes,1/10/2016,Resignation,Others
2298,Yes,3/5/2016,Resignation,Salary
2319,Yes,7/1/2016,Resignation,Stress
2323,Yes,30/5/2016,Resignation,Stress
2324,Yes,27/9/2016,Resignation,Others
2325,Yes,11/3/2016,Resignation,Salary
2349,Yes,27/1/2016,Resignation,Others
2366,Yes,18/4/2016,Resignation,Others
2375,Yes,29/2/2016,Resignation,Others
2380,Yes,11/2/2016,Resignation,Salary
2384,Yes,31/1/2016,Resignation,Others
2399,Yes,4/1/2016,Resignation,Stress
2414,Yes,9/11/2016,Resignation,Salary
2417,Yes,7/3/2016,Resignation,Others
2418,Yes,4/6/2016,Resignation,Stress
2426,Yes,20/11/2016,Resignation,Salary
2435,Yes,10/8/2016,Resignation,Salary
2436,Yes,13/5/2016,Resignation,Salary
2449,Yes,28/1/2016,Resignation,Others
2450,Yes,22/4/2016,Fired,NA
2459,Yes,6/4/2016,Resignation,Salary
2462,Yes,23/11/2016,Resignation,Stress
2468,Yes,3/7/2016,Resignation,Others
2470,Yes,12/9/2016,Fired,NA
2475,Yes,1/9/2016,Resignation,Salary
2484,Yes,6/1/2016,Resignation,Others
2486,Yes,7/1/2016,Resignation,Salary
2492,Yes,2/2/2016,Resignation,Stress
2494,Yes,2/3/2016,Resignation,Salary
2503,Yes,16/7/2016,Resignation,Others
2504,Yes,12/8/2016,Resignation,Others
2510,Yes,5/10/2016,Resignation,Salary
2511,Yes,18/8/2016,Resignation,Salary
2525,Yes,12/8/2016,Resignation,Salary
2526,Yes,23/1/2016,Resignation,Others
2539,Yes,20/10/2016,Fired,NA
2545,Yes,22/6/2016,Resignation,Stress
2546,Yes,16/4/2016,Resignation,Others
2551,Yes,17/11/2016,Resignation,Others
2552,Yes,3/10/2016,Resignation,Others
2566,Yes,5/1/2016,Resignation,Others
2567,Yes,27/11/2016,Fired,NA
2578,Yes,21/10/2016,Resignation,Salary
2582,Yes,17/2/2016,Resignation,Others
2588,Yes,8/5/2016,Resignation,Others
2592,Yes,29/5/2016,Resignation,Others
2603,Yes,14/7/2016,Resignation,Others
2608,Yes,29/11/2016,Resignation,Salary
2609,Yes,19/3/2016,Fired,NA
2651,Yes,17/6/2016,Fired,NA
2655,Yes,3/12/2016,Resignation,Stress
2657,Yes,10/2/2016,Resignation,Stress
2665,Yes,13/5/2016,Resignation,Others
2674,Yes,26/6/2016,Resignation,Salary
2683,Yes,13/12/2016,Resignation,Others
2685,Yes,23/6/2016,Resignation,Others
2697,Yes,29/7/2016,Resignation,Others
2704,Yes,13/7/2016,Resignation,Salary
2707,Yes,1/5/2016,Resignation,Others
2709,Yes,1/7/2016,Resignation,Salary
2716,Yes,12/4/2016,Resignation,Others
2717,Yes,20/2/2016,Fired,NA
2719,Yes,13/4/2016,Resignation,Others
2725,Yes,7/5/2016,Fired,NA
2728,Yes,7/4/2016,Resignation,Others
2733,Yes,2/11/2016,Resignation,Others
2734,Yes,4/9/2016,Resignation,Others
2752,Yes,13/8/2016,Resignation,Salary
2772,Yes,30/11/2016,Resignation,Others
2783,Yes,3/4/2016,Resignation,Stress
2785,Yes,30/10/2016,Resignation,Others
2790,Yes,21/4/2016,Fired,NA
2794,Yes,17/4/2016,Resignation,Salary
2805,Yes,25/10/2016,Resignation,Others
2807,Yes,29/7/2016,Resignation,Others
2809,Yes,20/9/2016,Fired,NA
2810,Yes,10/2/2016,Resignation,Stress
2815,Yes,19/1/2016,Resignation,Others
2819,Yes,25/4/2016,Fired,NA
2823,Yes,3/3/2016,Resignation,Others
2854,Yes,20/10/2016,Resignation,Stress
2860,Yes,12/4/2016,Resignation,Salary
2865,Yes,11/6/2016,Resignation,Salary
2875,Yes,19/2/2016,Resignation,Others
2887,Yes,19/9/2016,Resignation,Others
2888,Yes,5/8/2016,Resignation,Others
2893,Yes,22/1/2016,Resignation,Others
2897,Yes,13/12/2016,Resignation,Others
2899,Yes,4/3/2016,Resignation,Salary
2900,Yes,22/7/2016,Resignation,Others
2912,Yes,2/1/2016,Resignation,Salary
2917,Yes,15/11/2016,Resignation,Others
2919,Yes,8/8/2016,Resignation,Stress
2922,Yes,10/10/2016,Resignation,Salary
2933,Yes,10/10/2016,Resignation,Stress
2942,Yes,19/3/2016,Resignation,Salary
2947,Yes,3/3/2016,Resignation,Stress
2954,Yes,5/11/2016,Resignation,Others
2969,Yes,6/9/2016,Resignation,Salary
2971,Yes,15/7/2016,Fired,NA
2976,Yes,14/1/2016,Resignation,Salary
2979,Yes,10/2/2016,Resignation,Stress
3000,Yes,13/12/2016,Resignation,Others
3006,Yes,10/7/2016,Resignation,Salary
3010,Yes,10/2/2016,Resignation,Salary
3019,Yes,19/5/2016,Resignation,Others
3040,Yes,4/1/2016,Resignation,Stress
3046,Yes,4/4/2016,Resignation,Salary
3049,Yes,9/6/2016,Resignation,Salary
3051,Yes,17/11/2016,Resignation,Salary
3053,Yes,14/11/2016,Resignation,Stress
3061,Yes,29/8/2016,Resignation,Others
3065,Yes,15/3/2016,Resignation,Stress
3068,Yes,26/1/2016,Resignation,Others
3088,Yes,24/1/2016,Resignation,Salary
3097,Yes,31/8/2016,Resignation,Stress
3098,Yes,9/2/2016,Resignation,Others
3104,Yes,30/10/2016,Resignation,Salary
3105,Yes,12/11/2016,Resignation,Salary
3118,Yes,27/1/2016,Fired,NA
3119,Yes,15/5/2016,Fired,NA
3122,Yes,22/3/2016,Resignation,Salary
3123,Yes,29/9/2016,Resignation,Stress
3126,Yes,1/6/2016,Resignation,Others
3136,Yes,14/12/2016,Resignation,Others
3140,Yes,25/3/2016,Resignation,Stress
3146,Yes,23/5/2016,Resignation,Others
3152,Yes,31/10/2016,Resignation,Others
3162,Yes,15/12/2016,Fired,NA
3163,Yes,23/9/2016,Resignation,Stress
3165,Yes,28/11/2016,Resignation,Stress
3178,Yes,28/1/2016,Fired,NA
3187,Yes,2/12/2016,Resignation,Others
3196,Yes,5/11/2016,Resignation,Salary
3197,Yes,27/10/2016,Resignation,Others
3208,Yes,3/6/2016,Resignation,Stress
3211,Yes,7/6/2016,Resignation,Others
3223,Yes,13/11/2016,Fired,NA
3230,Yes,20/8/2016,Resignation,Others
3245,Yes,25/8/2016,Resignation,Salary
3249,Yes,24/8/2016,Resignation,Others
3251,Yes,7/3/2016,Resignation,Salary
3256,Yes,24/2/2016,Resignation,Salary
3268,Yes,19/5/2016,Resignation,Others
3272,Yes,28/5/2016,Resignation,Others
3274,Yes,24/6/2016,Resignation,Stress
3278,Yes,5/1/2016,Resignation,Others
3281,Yes,19/6/2016,Resignation,Others
3290,Yes,4/5/2016,Resignation,Stress
3291,Yes,24/6/2016,Resignation,Others
3297,Yes,13/2/2016,Resignation,Salary
3319,Yes,23/6/2016,Resignation,Salary
3328,Yes,7/11/2016,Resignation,Others
3339,Yes,16/1/2016,Resignation,Salary
3343,Yes,16/7/2016,Resignation,Others
3345,Yes,20/2/2016,Resignation,Salary
3346,Yes,15/1/2016,Resignation,Others
3349,Yes,9/9/2016,Resignation,Others
3350,Yes,6/7/2016,Resignation,Stress
3352,Yes,7/10/2016,Resignation,Others
3366,Yes,30/8/2016,Resignation,Stress
3371,Yes,29/5/2016,Resignation,Salary
3372,Yes,14/1/2016,Resignation,Others
3376,Yes,4/7/2016,Resignation,Stress
3378,Yes,24/1/2016,Resignation,Salary
3383,Yes,27/11/2016,Resignation,Stress
3389,Yes,5/2/2016,Resignation,Stress
3392,Yes,1/10/2016,Resignation,Salary
3394,Yes,22/2/2016,Resignation,Others
3403,Yes,6/8/2016,Resignation,Stress
3408,Yes,17/5/2016,Fired,NA
3414,Yes,25/7/2016,Resignation,Others
3415,Yes,19/10/2016,Resignation,Others
3427,Yes,21/6/2016,Resignation,Stress
3431,Yes,30/7/2016,Resignation,Stress
3432,Yes,3/5/2016,Fired,NA
3435,Yes,11/1/2016,Fired,NA
3444,Yes,23/1/2016,Resignation,Others
3445,Yes,21/11/2016,Resignation,Others
3459,Yes,31/1/2016,Resignation,Others
3460,Yes,14/4/2016,Resignation,Stress
3462,Yes,22/2/2016,Resignation,Stress
3463,Yes,11/12/2016,Resignation,Others
3472,Yes,30/8/2016,Resignation,Others
3474,Yes,16/12/2016,Resignation,Salary
3475,Yes,21/10/2016,Resignation,Salary
3479,Yes,9/2/2016,Resignation,Others
3480,Yes,20/2/2016,Resignation,Salary
3481,Yes,2/1/2016,Resignation,Others
3483,Yes,6/2/2016,Fired,NA
3484,Yes,5/12/2016,Resignation,Others
3496,Yes,4/3/2016,Resignation,Others
3511,Yes,17/7/2016,Resignation,Others
3512,Yes,2/11/2016,Resignation,Others
3514,Yes,8/4/2016,Resignation,Others
3519,Yes,10/12/2016,Resignation,Stress
3521,Yes,9/11/2016,Resignation,Salary
3525,Yes,11/4/2016,Resignation,Stress
3532,Yes,11/4/2016,Resignation,Others
3540,Yes,9/12/2016,Resignation,Stress
3543,Yes,11/8/2016,Fired,NA
3547,Yes,28/2/2016,Resignation,Salary
3554,Yes,20/2/2016,Resignation,Others
3575,Yes,13/9/2016,Resignation,Others
3594,Yes,27/8/2016,Resignation,Stress
3596,Yes,15/1/2016,Resignation,Others
3598,Yes,19/4/2016,Resignation,Stress
3611,Yes,14/2/2016,Resignation,Others
3615,Yes,5/3/2016,Resignation,Others
3622,Yes,9/6/2016,Resignation,Salary
3623,Yes,1/6/2016,Resignation,Others
3629,Yes,23/6/2016,Resignation,Salary
3630,Yes,28/10/2016,Resignation,Others
3635,Yes,18/1/2016,Resignation,Others
3636,Yes,7/11/2016,Resignation,Others
3649,Yes,29/3/2016,Resignation,Others
3658,Yes,22/4/2016,Resignation,Others
3663,Yes,11/8/2016,Resignation,Others
3664,Yes,11/5/2016,Resignation,Others
3668,Yes,18/8/2016,Resignation,Salary
3680,Yes,25/1/2016,Resignation,Others
3689,Yes,2/3/2016,Resignation,Others
3690,Yes,26/6/2016,Resignation,Others
3695,Yes,7/4/2016,Resignation,Stress
3699,Yes,4/2/2016,Resignation,Others
3704,Yes,24/3/2016,Resignation,Salary
3714,Yes,14/10/2016,Resignation,Salary
3715,Yes,29/5/2016,Fired,NA
3716,Yes,18/5/2016,Resignation,Stress
3719,Yes,27/6/2016,Resignation,Others
3722,Yes,10/9/2016,Resignation,Others
3739,Yes,17/10/2016,Resignation,Salary
3740,Yes,28/1/2016,Resignation,Others
3741,Yes,26/11/2016,Resignation,Salary
3743,Yes,5/1/2016,Resignation,Others
3751,Yes,23/3/2016,Resignation,Others
3760,Yes,4/7/2016,Resignation,Salary
3766,Yes,1/6/2016,Fired,NA
3768,Yes,4/10/2016,Resignation,Others
3789,Yes,12/5/2016,Resignation,Salary
3793,Yes,9/6/2016,Resignation,Others
3794,Yes,1/11/2016,Fired,NA
3795,Yes,8/11/2016,Fired,NA
3819,Yes,29/6/2016,Resignation,Salary
3836,Yes,18/2/2016,Resignation,Stress
3845,Yes,22/4/2016,Resignation,Stress
3850,Yes,21/1/2016,Resignation,Others
3854,Yes,24/6/2016,Resignation,Salary
3869,Yes,24/4/2016,Resignation,Salary
3884,Yes,8/1/2016,Resignation,Stress
3887,Yes,7/2/2016,Resignation,Others
3888,Yes,18/5/2016,Fired,NA
